snapshot_date,policy_start_year,business_type_category,chengdu_branch,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,主全,False,续保,,,C,,0106移动展业(App),4226.42,4226.42,1,1,0.0,84.52,0.0,4226.42,4141.9,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,主全,False,续保,,,D,,0106移动展业(App),2958.49,2958.49,1,0,0.0,59.17,0.0,2958.49,2899.32,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,主全,False,转保,,,B,,0106移动展业(App),3381.13,2908.6981,1,1,12584.57,1014.34,0.0,3381.13,-10548.4822,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,主全,False,转保,,,E,,0106移动展业(App),4226.42,4226.42,1,0,0.0,0.0,0.0,4226.42,4226.42,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,交三,False,续保,,,A,,0106移动展业(App),14792.45,14792.45,5,0,0.0,3698.12,0.0,14792.45,11094.33,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,交三,False,续保,,,B,,0101柜面,3803.77,3803.77,1,0,0.0,228.23,0.0,3803.77,3575.54,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,交三,False,续保,,,B,,0106移动展业(App),13524.53,13524.53,4,2,2283.02,3347.33,0.0,13524.53,7894.18,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,交三,False,续保,,,C,,0101柜面,2958.49,2958.49,1,0,0.0,0.0,0.0,2958.49,2958.49,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,交三,False,续保,,,C,,0106移动展业(App),9296.95,9296.95,4,3,4424.53,1960.71,0.0,9296.95,2911.71,38
2025-09-14,2024,10吨以上-普货,中支,乐山,营业货车,交强险,False,交三,False,转保,,,B,,0106移动展业(App),8030.19,7960.7146,2,0,0.0,1394.72,0.0,8030.19,6578.0614,38
